epoch,train_loss,lr,max_miou,best_mdice,best_mhd95,best_epoch,val_loss,val_miou,val_mdice,val_mhd95,iou_cls_0,dice_cls_0,hd95_cls_0,iou_cls_1,dice_cls_1,hd95_cls_1,iou_cls_2,dice_cls_2,hd95_cls_2,iou_cls_3,dice_cls_3,hd95_cls_3
0,1.53130135,1.00E-05,0.393848746,0.396310143,44.97177698,0,0.648472328,0.393848746,0.396310143,44.97177698,0.428343099,0.254081294,40.15122743,0.205765152,0.273887396,43.70210035,0.234054198,0.416596002,51.69238907,0.707232536,0.640675881,44.34139108
1,1.448901475,1.00E-05,0.393848746,0.396310143,44.97177698,1,0.648472328,0.393848746,0.396310143,44.97177698,0.428343099,0.254081294,40.15122743,0.205765152,0.273887396,43.70210035,0.234054198,0.416596002,51.69238907,0.707232536,0.640675881,44.34139108
2,1.147373544,6.80E-05,0.393848746,0.396310143,44.97177698,1,0.648472328,0.393848746,0.396310143,44.97177698,0.428343099,0.254081294,40.15122743,0.205765152,0.273887396,43.70210035,0.234054198,0.416596002,51.69238907,0.707232536,0.640675881,44.34139108
3,1.02893659,0.000126,0.588404259,0.593846386,28.10782476,3,0.567599189,0.588404259,0.593846386,28.10782476,0.577262055,0.532815781,22.07878632,0.461436095,0.459031613,34.19917941,0.592207286,0.582568686,33.2870911,0.722711601,0.800969462,22.86624221
4,0.987795353,0.000184,0.588404259,0.593846386,28.10782476,3,0.567599189,0.588404259,0.593846386,28.10782476,0.577262055,0.532815781,22.07878632,0.461436095,0.459031613,34.19917941,0.592207286,0.582568686,33.2870911,0.722711601,0.800969462,22.86624221
5,0.984135357,0.000242,0.636709546,0.61298015,25.05939292,5,0.517791051,0.636709546,0.61298015,25.05939292,0.627435511,0.54795013,18.33937235,0.501201209,0.468705522,32.61451213,0.632506165,0.591425174,31.23410594,0.785695297,0.843839774,18.04958127
6,0.966856607,0.000298184,0.636709546,0.61298015,25.05939292,5,0.517791051,0.636709546,0.61298015,25.05939292,0.627435511,0.54795013,18.33937235,0.501201209,0.468705522,32.61451213,0.632506165,0.591425174,31.23410594,0.785695297,0.843839774,18.04958127
7,0.941549745,0.000297387,0.636709546,0.61298015,25.05939292,5,0.551333508,0.632105862,0.620784324,24.94268913,0.638377585,0.548887402,18.27071395,0.492927923,0.47714992,32.43430484,0.616226488,0.626821105,29.22072598,0.780891453,0.830278868,19.84501175
8,0.931918052,0.000296448,0.636709546,0.61298015,25.05939292,5,0.551333508,0.632105862,0.620784324,24.94268913,0.638377585,0.548887402,18.27071395,0.492927923,0.47714992,32.43430484,0.616226488,0.626821105,29.22072598,0.780891453,0.830278868,19.84501175
9,0.901272177,0.000295366,0.646784265,0.628497751,23.4677507,9,0.599716389,0.646784265,0.628497751,23.4677507,0.651187843,0.537048645,16.25896928,0.505738153,0.491753868,32.03357568,0.625567284,0.635780216,28.50383991,0.804643781,0.849408274,17.07461795
