Epoch 1: Train Loss: 1.6569, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000003
Epoch 2: Train Loss: 1.6351, Val Loss: 0.8290, mIoU: 0.1148, LR: 0.000005
Epoch 3: Train Loss: 1.5422, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000006
Epoch 4: Train Loss: -21847052.9390, Val Loss: 0.9245, mIoU: 0.0514, LR: 0.000008
Epoch 5: Train Loss: -1092951171067532478366351360.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000010
Epoch 6: Train Loss: -10913479514575240509595320320.0000, Val Loss: 0.7803, mIoU: 0.2068, LR: 0.000298
Epoch 7: Train Loss: -42674573298346270691172548608.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000297
Epoch 8: Train Loss: -5606034539540423998206640128.0000, Val Loss: 0.7798, mIoU: 0.2068, LR: 0.000296
Epoch 9: Train Loss: -727072300107935815494914801664.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000295
Epoch 10: Train Loss: -19137714798308749929948905472.0000, Val Loss: 0.7798, mIoU: 0.2309, LR: 0.000294
Epoch 11: Train Loss: -795056459943980057749155217408.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000293
Epoch 12: Train Loss: -338908598494926714423002267648.0000, Val Loss: 0.7942, mIoU: 0.1879, LR: 0.000291
Epoch 13: Train Loss: -44697401122772409105871011840.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000290
Epoch 14: Train Loss: -15747048415755407040735870976.0000, Val Loss: 0.7663, mIoU: 0.2097, LR: 0.000288
Epoch 15: Train Loss: -56492790248015994959268151296.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000286
Epoch 16: Train Loss: -9224389053142736258022034636800.0000, Val Loss: 0.7390, mIoU: 0.2192, LR: 0.000284
Epoch 17: Train Loss: -2053539747939300590973737762816.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000282
Epoch 18: Train Loss: -6657556066801793186551300096.0000, Val Loss: 0.7697, mIoU: 0.2343, LR: 0.000279
Epoch 19: Train Loss: -789970106725469857798684672.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000277
Epoch 20: Train Loss: -1305732332811296439660588302336.0000, Val Loss: 0.7602, mIoU: 0.2371, LR: 0.000274
Epoch 21: Train Loss: -20036722591148439592757100544.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000272
Epoch 22: Train Loss: -81734349164289699801464832.0000, Val Loss: 0.7581, mIoU: 0.1912, LR: 0.000269
Epoch 23: Train Loss: -8416910918290797029325012992.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000266
Epoch 24: Train Loss: -2388270604339044642904342528.0000, Val Loss: 0.7486, mIoU: 0.2178, LR: 0.000263
Epoch 25: Train Loss: -13925819465418955639490609152.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000260
Epoch 26: Train Loss: -35433538008972894393618923520.0000, Val Loss: 0.7633, mIoU: 0.1925, LR: 0.000257
Epoch 27: Train Loss: -52336988620087445589852160.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000253
Epoch 28: Train Loss: -2230353678434898227515883520.0000, Val Loss: 0.7540, mIoU: 0.2124, LR: 0.000250
Epoch 29: Train Loss: -1461404215016644627163774976.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000247
Epoch 30: Train Loss: -2094085246147263567895724032.0000, Val Loss: 0.7511, mIoU: 0.2339, LR: 0.000243
Epoch 31: Train Loss: -101839988248579980411273216.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000239
Epoch 32: Train Loss: -153372404374466890370646016.0000, Val Loss: 0.7494, mIoU: 0.2050, LR: 0.000235
Epoch 33: Train Loss: -75150606064386583464444428288.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000232
Epoch 34: Train Loss: -238775247263351627130601472.0000, Val Loss: 0.7453, mIoU: 0.2710, LR: 0.000228
Epoch 35: Train Loss: -11334289389341043064832000.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000224
Epoch 36: Train Loss: -39872368243549167937388544.0000, Val Loss: 0.7414, mIoU: 0.2072, LR: 0.000219
Epoch 37: Train Loss: -23026942402139441399332864.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000215
Epoch 38: Train Loss: -13705721735252132663132160.0000, Val Loss: 0.7496, mIoU: 0.2497, LR: 0.000211
Epoch 39: Train Loss: -1977786095675630696792064.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000207
Epoch 40: Train Loss: -533719562673150345871360.0000, Val Loss: 0.7379, mIoU: 0.2758, LR: 0.000202
Epoch 41: Train Loss: -9068064524145932606898176.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000198
Epoch 42: Train Loss: -31612249267892337961336832.0000, Val Loss: 0.7477, mIoU: 0.2250, LR: 0.000194
Epoch 43: Train Loss: -74175964484697401065472.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000189
Epoch 44: Train Loss: -1392008557121384281538560.0000, Val Loss: 0.7527, mIoU: 0.2206, LR: 0.000185
Epoch 45: Train Loss: -754867827387519327010816.0000, Val Loss: 0.0000, mIoU: 0.0000, LR: 0.000180
